"","Level_1.chr","Level_1.start","Level_1.end","Level_1.Level"
"1","chr21",9400001,9600001,1
"2","chr21",9800001,10160001,1
"3","chr21",10360001,10720001,1
"4","chr21",14920001,15360001,1
"5","chr21",15360001,15760001,1
"6","chr21",15760001,16200001,1
"7","chr21",16200001,16880001,1
"8","chr21",16880001,17280001,1
"9","chr21",17280001,17760001,1
"10","chr21",17760001,18040001,1
"11","chr21",18040001,18680001,1
"12","chr21",18680001,19280001,1
"13","chr21",19320001,19560001,1
"14","chr21",19560001,19880001,1
"15","chr21",19880001,20120001,1
"16","chr21",20120001,20400001,1
"17","chr21",20400001,20640001,1
"18","chr21",20640001,21160001,1
"19","chr21",21160001,21360001,1
"20","chr21",21360001,21720001,1
"21","chr21",21720001,22360001,1
"22","chr21",22360001,22920001,1
"23","chr21",22920001,23400001,1
"24","chr21",23400001,23880001,1
"25","chr21",23880001,24160001,1
"26","chr21",24160001,24520001,1
"27","chr21",24520001,25000001,1
"28","chr21",25000001,25480001,1
"29","chr21",25480001,26040001,1
"30","chr21",26040001,26640001,1
"31","chr21",26640001,27080001,1
"32","chr21",27240001,27560001,1
"33","chr21",27560001,28200001,1
"34","chr21",28200001,28720001,1
"35","chr21",28720001,29080001,1
"36","chr21",29080001,29360001,1
"37","chr21",29360001,30120001,1
"38","chr21",30120001,30440001,1
"39","chr21",30440001,30760001,1
"40","chr21",30760001,31320001,1
"41","chr21",31320001,31800001,1
"42","chr21",31800001,32480001,1
"43","chr21",32480001,33080001,1
"44","chr21",33080001,33640001,1
"45","chr21",33640001,34000001,1
"46","chr21",34000001,34560001,1
"47","chr21",34560001,34840001,1
"48","chr21",34840001,35240001,1
"49","chr21",35240001,35760001,1
"50","chr21",35760001,36040001,1
"51","chr21",36040001,36280001,1
"52","chr21",36280001,36760001,1
"53","chr21",36760001,37480001,1
"54","chr21",37480001,37760001,1
"55","chr21",37760001,38520001,1
"56","chr21",38520001,39040001,1
"57","chr21",39040001,39760001,1
"58","chr21",39760001,40120001,1
"59","chr21",40120001,40520001,1
"60","chr21",40520001,41120001,1
"61","chr21",41120001,41640001,1
"62","chr21",41640001,42480001,1
"63","chr21",42480001,42840001,1
"64","chr21",42840001,43560001,1
"65","chr21",43560001,44280001,1
"66","chr21",44280001,44560001,1
"67","chr21",44560001,45080001,1
"68","chr21",45080001,45560001,1
"69","chr21",45560001,47560001,1
"70","chr21",47560001,48120001,1
