"","Level_1.chr","Level_1.start","Level_1.end","Level_1.Level"
"1","chr3",1,440001,1
"2","chr3",440001,640001,1
"3","chr3",640001,1120001,1
"4","chr3",1120001,1720001,1
"5","chr3",1720001,2240001,1
"6","chr3",2240001,3040001,1
"7","chr3",3040001,3240001,1
"8","chr3",3240001,4080001,1
"9","chr3",4080001,4360001,1
"10","chr3",4360001,4720001,1
"11","chr3",4720001,5200001,1
"12","chr3",5280001,5640001,1
"13","chr3",5640001,6240001,1
"14","chr3",6240001,6840001,1
"15","chr3",6840001,7320001,1
"16","chr3",7320001,8040001,1
"17","chr3",8040001,8480001,1
"18","chr3",8480001,9000001,1
"19","chr3",9000001,9440001,1
"20","chr3",9440001,9800001,1
"21","chr3",9800001,10360001,1
"22","chr3",10360001,10800001,1
"23","chr3",10800001,11400001,1
"24","chr3",11400001,11880001,1
"25","chr3",11880001,12560001,1
"26","chr3",12560001,13040001,1
"27","chr3",13040001,13520001,1
"28","chr3",13680001,13920001,1
"29","chr3",13920001,14200001,1
"30","chr3",14200001,14960001,1
"31","chr3",14960001,15640001,1
"32","chr3",15640001,16280001,1
"33","chr3",16280001,16640001,1
"34","chr3",16640001,17280001,1
"35","chr3",17280001,17920001,1
"36","chr3",17920001,18440001,1
"37","chr3",18440001,19040001,1
"38","chr3",19040001,19920001,1
"39","chr3",19920001,20240001,1
"40","chr3",20240001,20480001,1
"41","chr3",21520001,22120001,1
"42","chr3",22120001,22760001,1
"43","chr3",23800001,24720001,1
"44","chr3",24720001,25640001,1
"45","chr3",25640001,26040001,1
"46","chr3",26040001,26760001,1
"47","chr3",26760001,27320001,1
"48","chr3",27320001,27720001,1
"49","chr3",27720001,28400001,1
"50","chr3",28400001,28880001,1
"51","chr3",28880001,29440001,1
"52","chr3",29440001,29880001,1
"53","chr3",29880001,30240001,1
"54","chr3",30240001,30800001,1
"55","chr3",30800001,31320001,1
"56","chr3",31320001,31640001,1
"57","chr3",31640001,32040001,1
"58","chr3",32040001,32520001,1
"59","chr3",32520001,33160001,1
"60","chr3",33160001,33880001,1
"61","chr3",33880001,34400001,1
"62","chr3",34400001,34960001,1
"63","chr3",34960001,35440001,1
"64","chr3",35440001,35720001,1
"65","chr3",35720001,36000001,1
"66","chr3",36000001,36760001,1
"67","chr3",36760001,37360001,1
"68","chr3",37360001,37880001,1
"69","chr3",37880001,38560001,1
"70","chr3",38560001,39080001,1
"71","chr3",39080001,39440001,1
"72","chr3",39440001,40240001,1
"73","chr3",40240001,40560001,1
"74","chr3",40560001,41320001,1
"75","chr3",41320001,41880001,1
"76","chr3",41880001,42160001,1
"77","chr3",42160001,42480001,1
"78","chr3",42480001,43000001,1
"79","chr3",43000001,43720001,1
"80","chr3",43720001,44360001,1
"81","chr3",44360001,45040001,1
"82","chr3",45040001,45640001,1
"83","chr3",45640001,45960001,1
"84","chr3",45960001,46440001,1
"85","chr3",46440001,46720001,1
"86","chr3",46720001,47400001,1
"87","chr3",47400001,47880001,1
"88","chr3",47880001,48720001,1
"89","chr3",48720001,49040001,1
"90","chr3",49040001,49400001,1
"91","chr3",49400001,49720001,1
"92","chr3",49720001,50360001,1
"93","chr3",50360001,50680001,1
"94","chr3",50680001,51440001,1
"95","chr3",51440001,51960001,1
"96","chr3",51960001,52640001,1
"97","chr3",52640001,53320001,1
"98","chr3",53320001,53960001,1
"99","chr3",53960001,54440001,1
"100","chr3",54440001,54880001,1
"101","chr3",54880001,55520001,1
"102","chr3",55520001,56320001,1
"103","chr3",56320001,56640001,1
"104","chr3",56640001,57280001,1
"105","chr3",57360001,57600001,1
"106","chr3",57600001,57920001,1
"107","chr3",57920001,58560001,1
"108","chr3",58560001,59160001,1
"109","chr3",59160001,59560001,1
"110","chr3",59560001,59960001,1
"111","chr3",59960001,60360001,1
"112","chr3",60360001,60920001,1
"113","chr3",60920001,61320001,1
"114","chr3",61320001,61600001,1
"115","chr3",61600001,62200001,1
"116","chr3",62200001,62600001,1
"117","chr3",62600001,63320001,1
"118","chr3",63320001,63960001,1
"119","chr3",63960001,64520001,1
"120","chr3",64520001,64960001,1
"121","chr3",64960001,65400001,1
"122","chr3",65400001,65760001,1
"123","chr3",65760001,66280001,1
"124","chr3",66280001,66920001,1
"125","chr3",67960001,68880001,1
"126","chr3",69040001,69480001,1
"127","chr3",69480001,70040001,1
"128","chr3",70040001,70560001,1
"129","chr3",70560001,71040001,1
"130","chr3",71040001,71720001,1
"131","chr3",71720001,72320001,1
"132","chr3",72320001,72920001,1
"133","chr3",72920001,73160001,1
"134","chr3",73160001,73440001,1
"135","chr3",73440001,73920001,1
"136","chr3",73920001,74280001,1
"137","chr3",74280001,75120001,1
"138","chr3",75120001,75560001,1
"139","chr3",75760001,76320001,1
"140","chr3",76320001,76640001,1
"141","chr3",76640001,77360001,1
"142","chr3",77360001,77880001,1
"143","chr3",77880001,78720001,1
"144","chr3",78720001,79080001,1
"145","chr3",79080001,79560001,1
"146","chr3",79560001,79960001,1
"147","chr3",79960001,80320001,1
"148","chr3",80320001,80840001,1
"149","chr3",80840001,81360001,1
"150","chr3",81360001,81720001,1
"151","chr3",81720001,82400001,1
"152","chr3",82400001,82760001,1
"153","chr3",82760001,83280001,1
"154","chr3",83280001,84040001,1
"155","chr3",84040001,84600001,1
"156","chr3",84600001,84960001,1
"157","chr3",84960001,85680001,1
"158","chr3",85680001,85960001,1
"159","chr3",85960001,86720001,1
"160","chr3",86720001,87240001,1
"161","chr3",87240001,88080001,1
"162","chr3",88240001,89120001,1
"163","chr3",89120001,89680001,1
"164","chr3",89680001,89920001,1
"165","chr3",89920001,90240001,1
"166","chr3",93680001,94000001,1
"167","chr3",94000001,94560001,1
"168","chr3",94560001,95240001,1
"169","chr3",95240001,95560001,1
"170","chr3",95560001,96000001,1
"171","chr3",96000001,96520001,1
"172","chr3",96520001,97440001,1
"173","chr3",97440001,97760001,1
"174","chr3",97760001,98320001,1
"175","chr3",98320001,98720001,1
"176","chr3",98720001,99520001,1
"177","chr3",99520001,100000001,1
"178","chr3",100000001,100520001,1
"179","chr3",100520001,101120001,1
"180","chr3",101120001,101360001,1
"181","chr3",101360001,101960001,1
"182","chr3",101960001,102560001,1
"183","chr3",102560001,103120001,1
"184","chr3",103120001,103360001,1
"185","chr3",103360001,104240001,1
"186","chr3",104240001,105120001,1
"187","chr3",105120001,105360001,1
"188","chr3",106400001,106880001,1
"189","chr3",106880001,107360001,1
"190","chr3",107360001,108320001,1
"191","chr3",108320001,108720001,1
"192","chr3",108720001,109240001,1
"193","chr3",109240001,110080001,1
"194","chr3",110080001,110520001,1
"195","chr3",110520001,111280001,1
"196","chr3",111280001,111800001,1
"197","chr3",111800001,112280001,1
"198","chr3",112280001,112760001,1
"199","chr3",112760001,113400001,1
"200","chr3",113400001,113800001,1
"201","chr3",113800001,114080001,1
"202","chr3",114080001,114680001,1
"203","chr3",114680001,115480001,1
"204","chr3",115480001,116240001,1
"205","chr3",116240001,116480001,1
"206","chr3",116480001,116680001,1
"207","chr3",116680001,117160001,1
"208","chr3",117160001,117760001,1
"209","chr3",117760001,118480001,1
"210","chr3",118480001,118840001,1
"211","chr3",118840001,119520001,1
"212","chr3",119520001,119920001,1
"213","chr3",119920001,120320001,1
"214","chr3",120320001,121200001,1
"215","chr3",122240001,123000001,1
"216","chr3",123000001,123520001,1
"217","chr3",123520001,124040001,1
"218","chr3",124040001,124480001,1
"219","chr3",124480001,125160001,1
"220","chr3",125160001,125440001,1
"221","chr3",125440001,126240001,1
"222","chr3",126400001,127280001,1
"223","chr3",127280001,127880001,1
"224","chr3",127880001,128360001,1
"225","chr3",128360001,129000001,1
"226","chr3",129000001,129840001,1
"227","chr3",129840001,130440001,1
"228","chr3",130440001,130760001,1
"229","chr3",130760001,131240001,1
"230","chr3",131240001,131960001,1
"231","chr3",131960001,132440001,1
"232","chr3",132440001,133120001,1
"233","chr3",133120001,133520001,1
"234","chr3",133520001,134240001,1
"235","chr3",134320001,134760001,1
"236","chr3",134760001,135240001,1
"237","chr3",135240001,135600001,1
"238","chr3",135600001,136120001,1
"239","chr3",136120001,136760001,1
"240","chr3",136760001,137400001,1
"241","chr3",137400001,137800001,1
"242","chr3",137800001,138040001,1
"243","chr3",138040001,138560001,1
"244","chr3",138560001,139120001,1
"245","chr3",139120001,139800001,1
"246","chr3",139800001,140600001,1
"247","chr3",140600001,141040001,1
"248","chr3",141040001,141640001,1
"249","chr3",141640001,142160001,1
"250","chr3",142160001,142760001,1
"251","chr3",142760001,143440001,1
"252","chr3",143440001,143680001,1
"253","chr3",143680001,144240001,1
"254","chr3",144240001,144480001,1
"255","chr3",144480001,144960001,1
"256","chr3",144960001,145600001,1
"257","chr3",145600001,145920001,1
"258","chr3",145920001,146360001,1
"259","chr3",146360001,147000001,1
"260","chr3",147000001,147320001,1
"261","chr3",147320001,147640001,1
"262","chr3",147640001,148200001,1
"263","chr3",148200001,148720001,1
"264","chr3",148720001,149200001,1
"265","chr3",149200001,149600001,1
"266","chr3",149600001,150240001,1
"267","chr3",150240001,150920001,1
"268","chr3",150920001,151640001,1
"269","chr3",151640001,152200001,1
"270","chr3",152200001,152760001,1
"271","chr3",152760001,153320001,1
"272","chr3",153320001,153720001,1
"273","chr3",153720001,154000001,1
"274","chr3",154000001,154480001,1
"275","chr3",154480001,155040001,1
"276","chr3",155040001,155600001,1
