"","Level_1.chr","Level_1.start","Level_1.end","Level_1.Level"
"1","chrX",2960001,3760001,1
"2","chrX",3840001,4440001,1
"3","chrX",4440001,5120001,1
"4","chrX",5120001,5600001,1
"5","chrX",5600001,5840001,1
"6","chrX",5840001,6280001,1
"7","chrX",6280001,6960001,1
"8","chrX",6960001,7520001,1
"9","chrX",7520001,7920001,1
"10","chrX",7920001,8720001,1
"11","chrX",8720001,9040001,1
"12","chrX",9040001,9480001,1
"13","chrX",9480001,9800001,1
"14","chrX",9800001,10120001,1
"15","chrX",10120001,10640001,1
"16","chrX",10640001,11120001,1
"17","chrX",11120001,11800001,1
"18","chrX",11800001,12400001,1
"19","chrX",12400001,12920001,1
"20","chrX",12920001,13520001,1
"21","chrX",13520001,14040001,1
"22","chrX",14040001,14600001,1
"23","chrX",14600001,15280001,1
"24","chrX",15280001,15880001,1
"25","chrX",15880001,16720001,1
"26","chrX",16720001,17120001,1
"27","chrX",17120001,17800001,1
"28","chrX",17800001,18360001,1
"29","chrX",18360001,18920001,1
"30","chrX",18920001,19360001,1
"31","chrX",19360001,19600001,1
"32","chrX",19600001,20160001,1
"33","chrX",20160001,20520001,1
"34","chrX",20520001,21040001,1
"35","chrX",21040001,21760001,1
"36","chrX",21760001,22280001,1
"37","chrX",22280001,22760001,1
"38","chrX",22760001,23640001,1
"39","chrX",23640001,24080001,1
"40","chrX",24080001,24280001,1
"41","chrX",24280001,24720001,1
"42","chrX",24720001,25200001,1
"43","chrX",25200001,25800001,1
"44","chrX",25800001,26440001,1
"45","chrX",26440001,26640001,1
"46","chrX",26640001,26920001,1
"47","chrX",26920001,27200001,1
"48","chrX",27200001,27560001,1
"49","chrX",27560001,27840001,1
"50","chrX",27840001,28600001,1
"51","chrX",28600001,29080001,1
"52","chrX",29080001,29520001,1
"53","chrX",29520001,30120001,1
"54","chrX",30120001,30520001,1
"55","chrX",30520001,31000001,1
"56","chrX",31000001,31680001,1
"57","chrX",31680001,32280001,1
"58","chrX",32280001,32800001,1
"59","chrX",32800001,33400001,1
"60","chrX",33400001,33840001,1
"61","chrX",33840001,34400001,1
"62","chrX",34400001,35040001,1
"63","chrX",35040001,35400001,1
"64","chrX",35400001,35720001,1
"65","chrX",35720001,36080001,1
"66","chrX",36080001,36960001,1
"67","chrX",36960001,37360001,1
"68","chrX",37360001,38040001,1
"69","chrX",38040001,38600001,1
"70","chrX",38600001,39040001,1
"71","chrX",39040001,39480001,1
"72","chrX",39480001,40160001,1
"73","chrX",40160001,40360001,1
"74","chrX",40360001,41040001,1
"75","chrX",41040001,41640001,1
"76","chrX",41640001,41840001,1
"77","chrX",41840001,42280001,1
"78","chrX",42280001,43160001,1
"79","chrX",43160001,43640001,1
"80","chrX",43640001,44120001,1
"81","chrX",44120001,44480001,1
"82","chrX",44480001,45000001,1
"83","chrX",45000001,45720001,1
"84","chrX",45720001,46320001,1
"85","chrX",46320001,46960001,1
"86","chrX",46960001,47520001,1
"87","chrX",47520001,47880001,1
"88","chrX",47880001,48240001,1
"89","chrX",48280001,48960001,1
"90","chrX",49040001,49640001,1
"91","chrX",49640001,50400001,1
"92","chrX",50400001,51280001,1
"93","chrX",52560001,52960001,1
"94","chrX",53000001,53560001,1
"95","chrX",53560001,54080001,1
"96","chrX",54080001,54680001,1
"97","chrX",54680001,55120001,1
"98","chrX",55200001,55760001,1
"99","chrX",55760001,56280001,1
"100","chrX",56280001,56800001,1
"101","chrX",56800001,57120001,1
"102","chrX",57120001,57760001,1
"103","chrX",57760001,58080001,1
"104","chrX",58080001,58320001,1
"105","chrX",61720001,62360001,1
"106","chrX",62480001,62960001,1
"107","chrX",62960001,63440001,1
"108","chrX",63440001,63880001,1
"109","chrX",63880001,64680001,1
"110","chrX",64680001,65240001,1
"111","chrX",65240001,65960001,1
"112","chrX",65960001,66720001,1
"113","chrX",66720001,67400001,1
"114","chrX",67400001,67960001,1
"115","chrX",67960001,68680001,1
"116","chrX",68680001,69360001,1
"117","chrX",69360001,69880001,1
"118","chrX",69880001,70440001,1
"119","chrX",70440001,70920001,1
"120","chrX",71000001,71400001,1
"121","chrX",71480001,71960001,1
"122","chrX",72200001,72840001,1
"123","chrX",72840001,73040001,1
"124","chrX",73040001,73800001,1
"125","chrX",73800001,74280001,1
"126","chrX",74280001,74560001,1
"127","chrX",74560001,74840001,1
"128","chrX",74840001,75440001,1
"129","chrX",75440001,75800001,1
"130","chrX",75800001,76520001,1
"131","chrX",76520001,76880001,1
"132","chrX",76880001,77400001,1
"133","chrX",77400001,77640001,1
"134","chrX",77640001,78080001,1
"135","chrX",78080001,78440001,1
"136","chrX",78440001,79000001,1
"137","chrX",79000001,79840001,1
"138","chrX",80880001,81480001,1
"139","chrX",81480001,82240001,1
"140","chrX",82240001,82880001,1
"141","chrX",82880001,83360001,1
"142","chrX",83360001,83960001,1
"143","chrX",83960001,84320001,1
"144","chrX",84320001,84880001,1
"145","chrX",84880001,85120001,1
"146","chrX",85120001,85320001,1
"147","chrX",85320001,85720001,1
"148","chrX",85720001,86280001,1
"149","chrX",86280001,86760001,1
"150","chrX",86760001,87200001,1
"151","chrX",87200001,87800001,1
"152","chrX",87800001,88800001,1
"153","chrX",88800001,89520001,1
"154","chrX",90560001,91040001,1
"155","chrX",91040001,91840001,1
"156","chrX",91840001,92280001,1
"157","chrX",92280001,92800001,1
"158","chrX",92800001,93200001,1
"159","chrX",93200001,93440001,1
"160","chrX",93440001,94040001,1
"161","chrX",94040001,94800001,1
"162","chrX",94800001,95440001,1
"163","chrX",95440001,96040001,1
"164","chrX",96040001,96520001,1
"165","chrX",96520001,96960001,1
"166","chrX",96960001,97200001,1
"167","chrX",97200001,97760001,1
"168","chrX",97760001,98160001,1
"169","chrX",98160001,98440001,1
"170","chrX",98440001,98720001,1
"171","chrX",98720001,99600001,1
"172","chrX",99600001,100040001,1
"173","chrX",100040001,100680001,1
"174","chrX",100680001,101080001,1
"175","chrX",102400001,102720001,1
"176","chrX",102720001,103080001,1
"177","chrX",103080001,103400001,1
"178","chrX",103400001,103920001,1
"179","chrX",103920001,104440001,1
"180","chrX",104440001,105120001,1
"181","chrX",105120001,105640001,1
"182","chrX",105640001,106080001,1
"183","chrX",106080001,106760001,1
"184","chrX",106760001,107400001,1
"185","chrX",107400001,107960001,1
"186","chrX",107960001,108680001,1
"187","chrX",108680001,109160001,1
"188","chrX",109160001,109680001,1
"189","chrX",109680001,110360001,1
"190","chrX",110360001,110840001,1
"191","chrX",111880001,112520001,1
"192","chrX",112520001,113160001,1
"193","chrX",113160001,113840001,1
"194","chrX",113840001,114400001,1
"195","chrX",114400001,114960001,1
"196","chrX",115000001,115600001,1
"197","chrX",115600001,116040001,1
"198","chrX",116040001,116240001,1
"199","chrX",116240001,116720001,1
"200","chrX",116720001,117440001,1
"201","chrX",117440001,117960001,1
"202","chrX",117960001,118400001,1
"203","chrX",118400001,118680001,1
"204","chrX",118680001,118920001,1
"205","chrX",118920001,119280001,1
"206","chrX",119320001,119920001,1
"207","chrX",120120001,120720001,1
"208","chrX",120720001,121160001,1
"209","chrX",121160001,121400001,1
"210","chrX",121400001,121920001,1
"211","chrX",121920001,122560001,1
"212","chrX",122560001,123240001,1
