"","col2","res2","end2"
"1","chr8",8e+05,1560000
"2","chr8",1560000,2040000
"3","chr8",2040000,2920000
"4","chr8",2920000,4840000
"5","chr8",4840000,5800000
"6","chr8",5800000,6240000
"7","chr8",6240000,6880000
"8","chr8",6880000,7040000
"9","chr8",7040000,8080000
"10","chr8",8080000,8600000
"11","chr8",8600000,8880000
"12","chr8",8880000,9200000
"13","chr8",9200000,9720000
"14","chr8",9720000,9800000
"15","chr8",9800000,10400000
"16","chr8",10400000,10720000
"17","chr8",10720000,11160000
"18","chr8",11160000,11600000
"19","chr8",11600000,11800000
"20","chr8",11800000,11920000
"21","chr8",11920000,12200000
"22","chr8",12200000,12280000
"23","chr8",12280000,12920000
"24","chr8",12920000,13200000
"25","chr8",13200000,13560000
"26","chr8",13560000,15240000
"27","chr8",15240000,15680000
"28","chr8",15680000,16440000
"29","chr8",16440000,17120000
"30","chr8",17120000,17440000
"31","chr8",17440000,17800000
"32","chr8",17800000,18040000
"33","chr8",18040000,18720000
"34","chr8",18720000,19240000
"35","chr8",19240000,19640000
"36","chr8",19640000,2e+07
"37","chr8",2e+07,20280000
"38","chr8",20280000,20880000
"39","chr8",20880000,21120000
"40","chr8",21120000,21760000
"41","chr8",21760000,22080000
"42","chr8",22080000,22440000
"43","chr8",22440000,22880000
"44","chr8",22880000,23320000
"45","chr8",23320000,23560000
"46","chr8",23560000,24120000
"47","chr8",24120000,2.5e+07
"48","chr8",2.5e+07,25360000
"49","chr8",25360000,25960000
"50","chr8",25960000,26520000
"51","chr8",26520000,27120000
"52","chr8",27120000,27480000
"53","chr8",27480000,27720000
"54","chr8",27720000,27920000
"55","chr8",27920000,28200000
"56","chr8",28200000,28640000
"57","chr8",28640000,28920000
"58","chr8",28920000,29160000
"59","chr8",29160000,29920000
"60","chr8",29920000,30480000
"61","chr8",30480000,30680000
"62","chr8",30680000,31080000
"63","chr8",31080000,32080000
"64","chr8",32080000,32400000
"65","chr8",32400000,3.3e+07
"66","chr8",3.3e+07,33480000
"67","chr8",33480000,34560000
"68","chr8",34560000,35400000
"69","chr8",35400000,36040000
"70","chr8",36040000,36640000
"71","chr8",36640000,3.7e+07
"72","chr8",3.7e+07,37600000
"73","chr8",37600000,37960000
"74","chr8",37960000,38240000
"75","chr8",38240000,38600000
"76","chr8",38600000,38840000
"77","chr8",38840000,39240000
"78","chr8",39240000,39360000
"79","chr8",39360000,39720000
"80","chr8",39720000,40120000
"81","chr8",40120000,40440000
"82","chr8",40440000,40920000
"83","chr8",40920000,41400000
"84","chr8",41400000,41800000
"85","chr8",41800000,4.2e+07
"86","chr8",4.2e+07,42240000
"87","chr8",42240000,42520000
"88","chr8",42520000,42680000
"89","chr8",42680000,42960000
"90","chr8",42960000,43080000
"91","chr8",43080000,43760000
"92","chr8",43760000,46880000
"93","chr8",46880000,47120000
"94","chr8",47120000,47200000
"95","chr8",47200000,47360000
"96","chr8",47360000,47880000
"97","chr8",47880000,48120000
"98","chr8",48120000,48680000
"99","chr8",48680000,4.9e+07
"100","chr8",4.9e+07,49280000
"101","chr8",49280000,49880000
"102","chr8",49880000,50840000
"103","chr8",50840000,51400000
"104","chr8",51400000,52520000
"105","chr8",52520000,52920000
"106","chr8",52920000,53480000
"107","chr8",53480000,53880000
"108","chr8",53880000,54160000
"109","chr8",54160000,54760000
"110","chr8",54760000,55080000
"111","chr8",55080000,55520000
"112","chr8",55520000,56160000
"113","chr8",56160000,56640000
"114","chr8",56640000,5.7e+07
"115","chr8",5.7e+07,57840000
"116","chr8",57840000,58320000
"117","chr8",58320000,59320000
"118","chr8",59320000,59600000
"119","chr8",59600000,6e+07
"120","chr8",6e+07,60920000
"121","chr8",60920000,61320000
"122","chr8",61320000,61560000
"123","chr8",61560000,62040000
"124","chr8",62040000,62480000
"125","chr8",62480000,6.3e+07
"126","chr8",6.3e+07,63960000
"127","chr8",63960000,64280000
"128","chr8",64280000,65440000
"129","chr8",65440000,66520000
"130","chr8",66520000,66960000
"131","chr8",66960000,67360000
"132","chr8",67360000,68160000
"133","chr8",68160000,68720000
"134","chr8",68720000,69440000
"135","chr8",69440000,70560000
"136","chr8",70560000,7.1e+07
"137","chr8",7.1e+07,71600000
"138","chr8",71600000,72720000
"139","chr8",72720000,73160000
"140","chr8",73160000,73880000
"141","chr8",73880000,74200000
"142","chr8",74200000,74560000
"143","chr8",74560000,74960000
"144","chr8",74960000,75280000
"145","chr8",75280000,75880000
"146","chr8",75880000,76560000
"147","chr8",76560000,77280000
"148","chr8",77280000,78080000
"149","chr8",78080000,79360000
"150","chr8",79360000,79840000
"151","chr8",79840000,80600000
"152","chr8",80600000,80960000
"153","chr8",80960000,81520000
"154","chr8",81520000,81880000
"155","chr8",81880000,82160000
"156","chr8",82160000,82600000
"157","chr8",82600000,83080000
"158","chr8",83080000,85520000
"159","chr8",85520000,86200000
"160","chr8",86200000,87120000
"161","chr8",87120000,87600000
"162","chr8",87600000,88600000
"163","chr8",88600000,89360000
"164","chr8",89360000,90160000
"165","chr8",90160000,90720000
"166","chr8",90720000,9.1e+07
"167","chr8",9.1e+07,91600000
"168","chr8",91600000,9.2e+07
"169","chr8",9.2e+07,92480000
"170","chr8",92480000,93120000
"171","chr8",93120000,94680000
"172","chr8",94680000,9.5e+07
"173","chr8",9.5e+07,95400000
"174","chr8",95400000,95840000
"175","chr8",95840000,96280000
"176","chr8",96280000,97240000
"177","chr8",97240000,98200000
"178","chr8",98200000,98600000
"179","chr8",98600000,99160000
"180","chr8",99160000,99560000
"181","chr8",99560000,100040000
"182","chr8",100040000,100480000
"183","chr8",100480000,100840000
"184","chr8",100840000,101160000
"185","chr8",101160000,101560000
"186","chr8",101560000,101880000
"187","chr8",101880000,102320000
"188","chr8",102320000,102680000
"189","chr8",102680000,102760000
"190","chr8",102760000,103240000
"191","chr8",103240000,103600000
"192","chr8",103600000,104080000
"193","chr8",104080000,104560000
"194","chr8",104560000,105480000
"195","chr8",105480000,105800000
"196","chr8",105800000,106800000
"197","chr8",106800000,107720000
"198","chr8",107720000,108800000
"199","chr8",108800000,109800000
"200","chr8",109800000,110760000
"201","chr8",110760000,111960000
"202","chr8",111960000,112880000
"203","chr8",112880000,114480000
"204","chr8",114480000,116120000
"205","chr8",116120000,116640000
"206","chr8",116640000,117560000
"207","chr8",117560000,118080000
"208","chr8",118080000,118440000
"209","chr8",118440000,119520000
"210","chr8",119520000,119720000
"211","chr8",119720000,120080000
"212","chr8",120080000,120520000
"213","chr8",120520000,120720000
"214","chr8",120720000,121120000
"215","chr8",121120000,121440000
"216","chr8",121440000,121960000
"217","chr8",121960000,122880000
"218","chr8",122880000,123440000
"219","chr8",123440000,123680000
"220","chr8",123680000,124040000
"221","chr8",124040000,124440000
"222","chr8",124440000,124800000
"223","chr8",124800000,125040000
"224","chr8",125040000,125480000
"225","chr8",125480000,126080000
"226","chr8",126080000,126720000
"227","chr8",126720000,127280000
"228","chr8",127280000,127840000
"229","chr8",127840000,128200000
"230","chr8",128200000,128760000
"231","chr8",128760000,129360000
"232","chr8",129360000,129680000
"233","chr8",129680000,1.3e+08
"234","chr8",1.3e+08,130760000
"235","chr8",130760000,131160000
"236","chr8",131160000,131720000
"237","chr8",131720000,132040000
"238","chr8",132040000,132880000
"239","chr8",132880000,133160000
"240","chr8",133160000,133880000
"241","chr8",133880000,134200000
"242","chr8",134200000,134480000
"243","chr8",134480000,135040000
"244","chr8",135040000,135480000
"245","chr8",135480000,135920000
"246","chr8",135920000,136440000
"247","chr8",136440000,136840000
"248","chr8",136840000,138840000
"249","chr8",138840000,139720000
"250","chr8",139720000,140200000
"251","chr8",140200000,140720000
"252","chr8",140720000,141120000
"253","chr8",141120000,141440000
"254","chr8",141440000,141720000
"255","chr8",141720000,142200000
"256","chr8",142200000,142440000
"257","chr8",142440000,142720000
"258","chr8",142720000,143680000
"259","chr8",143680000,144360000
"260","chr8",144360000,144640000
"261","chr8",144640000,145160000
"262","chr8",145160000,145480000
"263","chr8",145480000,145760000
"264","chr8",145760000,146040000
"265","chr8",146040000,146240000
"266","chr8",146240000,146320000
"267","chr8",146320000,146400000
"268","chr8",146400000,146400000
