"","col2","res2","end2"
"1","chr17",480000,6e+05
"2","chr17",6e+05,960000
"3","chr17",960000,1640000
"4","chr17",1640000,2280000
"5","chr17",2280000,2960000
"6","chr17",2960000,3160000
"7","chr17",3160000,3240000
"8","chr17",3240000,3440000
"9","chr17",3440000,4600000
"10","chr17",4600000,5400000
"11","chr17",5400000,6360000
"12","chr17",6360000,7e+06
"13","chr17",7e+06,8320000
"14","chr17",8320000,8760000
"15","chr17",8760000,9480000
"16","chr17",9480000,9840000
"17","chr17",9840000,10200000
"18","chr17",10200000,10520000
"19","chr17",10520000,10920000
"20","chr17",10920000,11040000
"21","chr17",11040000,11440000
"22","chr17",11440000,11600000
"23","chr17",11600000,12040000
"24","chr17",12040000,12640000
"25","chr17",12640000,13200000
"26","chr17",13200000,13480000
"27","chr17",13480000,14200000
"28","chr17",14200000,14600000
"29","chr17",14600000,15120000
"30","chr17",15120000,15480000
"31","chr17",15480000,16440000
"32","chr17",16440000,16600000
"33","chr17",16600000,16720000
"34","chr17",16720000,17240000
"35","chr17",17240000,17440000
"36","chr17",17440000,18600000
"37","chr17",18600000,18680000
"38","chr17",18680000,18920000
"39","chr17",18920000,20480000
"40","chr17",20480000,20560000
"41","chr17",20560000,20680000
"42","chr17",20680000,21600000
"43","chr17",21600000,21880000
"44","chr17",21880000,2.2e+07
"45","chr17",2.2e+07,22160000
"46","chr17",22160000,22240000
"47","chr17",22240000,25360000
"48","chr17",25360000,25560000
"49","chr17",25560000,25960000
"50","chr17",25960000,26240000
"51","chr17",26240000,26520000
"52","chr17",26520000,27320000
"53","chr17",27320000,27440000
"54","chr17",27440000,28280000
"55","chr17",28280000,28360000
"56","chr17",28360000,28840000
"57","chr17",28840000,28960000
"58","chr17",28960000,29680000
"59","chr17",29680000,30280000
"60","chr17",30280000,30520000
"61","chr17",30520000,30800000
"62","chr17",30800000,31360000
"63","chr17",31360000,31520000
"64","chr17",31520000,31720000
"65","chr17",31720000,31800000
"66","chr17",31800000,32040000
"67","chr17",32040000,32280000
"68","chr17",32280000,32480000
"69","chr17",32480000,32720000
"70","chr17",32720000,33320000
"71","chr17",33320000,33960000
"72","chr17",33960000,34280000
"73","chr17",34280000,34480000
"74","chr17",34480000,34800000
"75","chr17",34800000,34920000
"76","chr17",34920000,35440000
"77","chr17",35440000,35760000
"78","chr17",35760000,35960000
"79","chr17",35960000,36320000
"80","chr17",36320000,37680000
"81","chr17",37680000,38440000
"82","chr17",38440000,39840000
"83","chr17",39840000,40920000
"84","chr17",40920000,41400000
"85","chr17",41400000,41960000
"86","chr17",41960000,43680000
"87","chr17",43680000,4.4e+07
"88","chr17",4.4e+07,44080000
"89","chr17",44080000,44360000
"90","chr17",44360000,44760000
"91","chr17",44760000,44840000
"92","chr17",44840000,45200000
"93","chr17",45200000,45720000
"94","chr17",45720000,46800000
"95","chr17",46800000,46880000
"96","chr17",46880000,47880000
"97","chr17",47880000,49360000
"98","chr17",49360000,49800000
"99","chr17",49800000,50440000
"100","chr17",50440000,52240000
"101","chr17",52240000,53040000
"102","chr17",53040000,53600000
"103","chr17",53600000,53920000
"104","chr17",53920000,54600000
"105","chr17",54600000,54880000
"106","chr17",54880000,55920000
"107","chr17",55920000,56640000
"108","chr17",56640000,6e+07
"109","chr17",6e+07,60720000
"110","chr17",60720000,61920000
"111","chr17",61920000,62800000
"112","chr17",62800000,64200000
"113","chr17",64200000,65200000
"114","chr17",65200000,66520000
"115","chr17",66520000,67320000
"116","chr17",67320000,68680000
"117","chr17",68680000,69440000
"118","chr17",69440000,69960000
"119","chr17",69960000,70080000
"120","chr17",70080000,70560000
"121","chr17",70560000,71440000
"122","chr17",71440000,71560000
"123","chr17",71560000,72200000
"124","chr17",72200000,72680000
"125","chr17",72680000,73920000
"126","chr17",73920000,74720000
"127","chr17",74720000,74800000
"128","chr17",74800000,75480000
"129","chr17",75480000,76040000
"130","chr17",76040000,77080000
"131","chr17",77080000,77480000
"132","chr17",77480000,77560000
"133","chr17",77560000,78360000
"134","chr17",78360000,7.9e+07
"135","chr17",7.9e+07,79840000
"136","chr17",79840000,80760000
"137","chr17",80760000,81200000
"138","chr17",81200000,81200000
