"","Level_1.chr","Level_1.start","Level_1.end","Level_1.Level"
"1","chrX",2960001,3760001,1
"2","chrX",4880001,5240001,1
"3","chrX",5240001,5920001,1
"4","chrX",5920001,6280001,1
"5","chrX",6280001,6960001,1
"6","chrX",6960001,7880001,1
"7","chrX",7880001,8360001,1
"8","chrX",8360001,8720001,1
"9","chrX",8720001,8960001,1
"10","chrX",8960001,9200001,1
"11","chrX",9200001,9680001,1
"12","chrX",9680001,10160001,1
"13","chrX",10160001,10640001,1
"14","chrX",10640001,11160001,1
"15","chrX",11160001,11840001,1
"16","chrX",11840001,12760001,1
"17","chrX",12920001,13400001,1
"18","chrX",13400001,14080001,1
"19","chrX",14080001,14680001,1
"20","chrX",14680001,15280001,1
"21","chrX",15280001,15680001,1
"22","chrX",15680001,16120001,1
"23","chrX",16120001,16880001,1
"24","chrX",16880001,17720001,1
"25","chrX",17720001,18400001,1
"26","chrX",18400001,19080001,1
"27","chrX",19080001,19360001,1
"28","chrX",19360001,20080001,1
"29","chrX",20080001,20560001,1
"30","chrX",20560001,21320001,1
"31","chrX",21320001,22040001,1
"32","chrX",22040001,22760001,1
"33","chrX",22760001,23680001,1
"34","chrX",23680001,24360001,1
"35","chrX",24360001,24800001,1
"36","chrX",24800001,25160001,1
"37","chrX",25160001,25880001,1
"38","chrX",25880001,26440001,1
"39","chrX",26440001,26720001,1
"40","chrX",26720001,27400001,1
"41","chrX",27400001,27720001,1
"42","chrX",27720001,28080001,1
"43","chrX",28080001,28640001,1
"44","chrX",28640001,29080001,1
"45","chrX",29080001,29640001,1
"46","chrX",29640001,30040001,1
"47","chrX",30040001,30640001,1
"48","chrX",30640001,31040001,1
"49","chrX",31040001,31680001,1
"50","chrX",31680001,32480001,1
"51","chrX",32480001,33400001,1
"52","chrX",33400001,34320001,1
"53","chrX",34320001,34960001,1
"54","chrX",34960001,35760001,1
"55","chrX",35760001,36520001,1
"56","chrX",36520001,37120001,1
"57","chrX",37120001,37400001,1
"58","chrX",37400001,38200001,1
"59","chrX",38200001,38600001,1
"60","chrX",38600001,39120001,1
"61","chrX",39120001,39520001,1
"62","chrX",39520001,40040001,1
"63","chrX",40040001,40400001,1
"64","chrX",40400001,41000001,1
"65","chrX",41000001,41600001,1
"66","chrX",41680001,42200001,1
"67","chrX",42200001,42400001,1
"68","chrX",42400001,42680001,1
