"","col2","res2","end2"
"1","chrX",2680000,2760000
"2","chrX",2760000,3e+06
"3","chrX",3e+06,3560000
"4","chrX",3560000,3760000
"5","chrX",3760000,5120000
"6","chrX",5120000,5800000
"7","chrX",5800000,6280000
"8","chrX",6280000,6960000
"9","chrX",6960000,7120000
"10","chrX",7120000,7520000
"11","chrX",7520000,7800000
"12","chrX",7800000,8880000
"13","chrX",8880000,9720000
"14","chrX",9720000,10120000
"15","chrX",10120000,10680000
"16","chrX",10680000,11120000
"17","chrX",11120000,11520000
"18","chrX",11520000,11920000
"19","chrX",11920000,12280000
"20","chrX",12280000,12720000
"21","chrX",12720000,12960000
"22","chrX",12960000,13520000
"23","chrX",13520000,13760000
"24","chrX",13760000,14040000
"25","chrX",14040000,15320000
"26","chrX",15320000,15840000
"27","chrX",15840000,16400000
"28","chrX",16400000,16720000
"29","chrX",16720000,17120000
"30","chrX",17120000,17760000
"31","chrX",17760000,17920000
"32","chrX",17920000,18280000
"33","chrX",18280000,18920000
"34","chrX",18920000,19360000
"35","chrX",19360000,19600000
"36","chrX",19600000,20160000
"37","chrX",20160000,20520000
"38","chrX",20520000,21440000
"39","chrX",21440000,2.2e+07
"40","chrX",2.2e+07,22280000
"41","chrX",22280000,22760000
"42","chrX",22760000,23320000
"43","chrX",23320000,23680000
"44","chrX",23680000,24080000
"45","chrX",24080000,24400000
"46","chrX",24400000,24720000
"47","chrX",24720000,25200000
"48","chrX",25200000,25840000
"49","chrX",25840000,26600000
"50","chrX",26600000,27720000
"51","chrX",27720000,28600000
"52","chrX",28600000,29080000
"53","chrX",29080000,30120000
"54","chrX",30120000,30520000
"55","chrX",30520000,31120000
"56","chrX",31120000,31720000
"57","chrX",31720000,33400000
"58","chrX",33400000,34840000
"59","chrX",34840000,35720000
"60","chrX",35720000,37080000
"61","chrX",37080000,37160000
"62","chrX",37160000,37720000
"63","chrX",37720000,38200000
"64","chrX",38200000,38600000
"65","chrX",38600000,39040000
"66","chrX",39040000,39320000
"67","chrX",39320000,39600000
"68","chrX",39600000,39960000
"69","chrX",39960000,40440000
"70","chrX",40440000,41040000
"71","chrX",41040000,41640000
"72","chrX",41640000,42080000
"73","chrX",42080000,42440000
"74","chrX",42440000,43160000
"75","chrX",43160000,43400000
"76","chrX",43400000,43600000
"77","chrX",43600000,43800000
"78","chrX",43800000,44120000
"79","chrX",44120000,44360000
"80","chrX",44360000,44720000
"81","chrX",44720000,4.5e+07
"82","chrX",4.5e+07,45160000
"83","chrX",45160000,45600000
"84","chrX",45600000,46280000
"85","chrX",46280000,46520000
"86","chrX",46520000,46960000
"87","chrX",46960000,47520000
"88","chrX",47520000,47880000
"89","chrX",47880000,48240000
"90","chrX",48240000,49360000
"91","chrX",49360000,49680000
"92","chrX",49680000,50400000
"93","chrX",50400000,50760000
"94","chrX",50760000,51200000
"95","chrX",51200000,51680000
"96","chrX",51680000,51880000
"97","chrX",51880000,52840000
"98","chrX",52840000,52920000
"99","chrX",52920000,53280000
"100","chrX",53280000,53680000
"101","chrX",53680000,54080000
"102","chrX",54080000,54840000
"103","chrX",54840000,55760000
"104","chrX",55760000,56280000
"105","chrX",56280000,56760000
"106","chrX",56760000,57120000
"107","chrX",57120000,57760000
"108","chrX",57760000,58360000
"109","chrX",58360000,58440000
"110","chrX",58440000,58520000
"111","chrX",58520000,61720000
"112","chrX",61720000,62480000
"113","chrX",62480000,62880000
"114","chrX",62880000,63160000
"115","chrX",63160000,63720000
"116","chrX",63720000,63920000
"117","chrX",63920000,64680000
"118","chrX",64680000,65240000
"119","chrX",65240000,65960000
"120","chrX",65960000,66720000
"121","chrX",66720000,67400000
"122","chrX",67400000,67720000
"123","chrX",67720000,68040000
"124","chrX",68040000,68440000
"125","chrX",68440000,68680000
"126","chrX",68680000,69360000
"127","chrX",69360000,69880000
"128","chrX",69880000,70440000
"129","chrX",70440000,7.1e+07
"130","chrX",7.1e+07,71200000
"131","chrX",71200000,71400000
"132","chrX",71400000,71800000
"133","chrX",71800000,71960000
"134","chrX",71960000,72200000
"135","chrX",72200000,72600000
"136","chrX",72600000,73040000
"137","chrX",73040000,73400000
"138","chrX",73400000,73800000
"139","chrX",73800000,74560000
"140","chrX",74560000,75320000
"141","chrX",75320000,76120000
"142","chrX",76120000,76640000
"143","chrX",76640000,76720000
"144","chrX",76720000,77400000
"145","chrX",77400000,77560000
"146","chrX",77560000,78800000
"147","chrX",78800000,79920000
"148","chrX",79920000,80680000
"149","chrX",80680000,81480000
"150","chrX",81480000,81840000
"151","chrX",81840000,82240000
"152","chrX",82240000,82920000
"153","chrX",82920000,84320000
"154","chrX",84320000,85120000
"155","chrX",85120000,85320000
"156","chrX",85320000,86960000
"157","chrX",86960000,88200000
"158","chrX",88200000,89160000
"159","chrX",89160000,89240000
"160","chrX",89240000,89800000
"161","chrX",89800000,89880000
"162","chrX",89880000,90400000
"163","chrX",90400000,90480000
"164","chrX",90480000,9.1e+07
"165","chrX",9.1e+07,91080000
"166","chrX",91080000,91680000
"167","chrX",91680000,91800000
"168","chrX",91800000,93120000
"169","chrX",93120000,9.5e+07
"170","chrX",9.5e+07,95560000
"171","chrX",95560000,96800000
"172","chrX",96800000,97240000
"173","chrX",97240000,98280000
"174","chrX",98280000,99600000
"175","chrX",99600000,100040000
"176","chrX",100040000,100520000
"177","chrX",100520000,101720000
"178","chrX",101720000,102040000
"179","chrX",102040000,102560000
"180","chrX",102560000,103080000
"181","chrX",103080000,103400000
"182","chrX",103400000,103920000
"183","chrX",103920000,104440000
"184","chrX",104440000,1.05e+08
"185","chrX",1.05e+08,105400000
"186","chrX",105400000,105640000
"187","chrX",105640000,106080000
"188","chrX",106080000,106760000
"189","chrX",106760000,107160000
"190","chrX",107160000,107400000
"191","chrX",107400000,107880000
"192","chrX",107880000,108360000
"193","chrX",108360000,108640000
"194","chrX",108640000,109160000
"195","chrX",109160000,109400000
"196","chrX",109400000,109680000
"197","chrX",109680000,110120000
"198","chrX",110120000,110400000
"199","chrX",110400000,110880000
"200","chrX",110880000,111320000
"201","chrX",111320000,111840000
"202","chrX",111840000,112280000
"203","chrX",112280000,113080000
"204","chrX",113080000,113840000
"205","chrX",113840000,114400000
"206","chrX",114400000,114960000
"207","chrX",114960000,115640000
"208","chrX",115640000,115760000
"209","chrX",115760000,116960000
"210","chrX",116960000,117600000
"211","chrX",117600000,117960000
"212","chrX",117960000,118400000
"213","chrX",118400000,119080000
"214","chrX",119080000,119280000
"215","chrX",119280000,119960000
"216","chrX",119960000,121960000
"217","chrX",121960000,122560000
"218","chrX",122560000,123240000
"219","chrX",123240000,124320000
"220","chrX",124320000,126640000
"221","chrX",126640000,128720000
"222","chrX",128720000,129040000
"223","chrX",129040000,129440000
"224","chrX",129440000,130080000
"225","chrX",130080000,130960000
"226","chrX",130960000,131800000
"227","chrX",131800000,132360000
"228","chrX",132360000,132920000
"229","chrX",132920000,133600000
"230","chrX",133600000,133920000
"231","chrX",133920000,134240000
"232","chrX",134240000,135080000
"233","chrX",135080000,135600000
"234","chrX",135600000,136040000
"235","chrX",136040000,137200000
"236","chrX",137200000,137840000
"237","chrX",137840000,138640000
"238","chrX",138640000,139040000
"239","chrX",139040000,139800000
"240","chrX",139800000,141080000
"241","chrX",141080000,141880000
"242","chrX",141880000,142720000
"243","chrX",142720000,143160000
"244","chrX",143160000,143240000
"245","chrX",143240000,144320000
"246","chrX",144320000,145320000
"247","chrX",145320000,146600000
"248","chrX",146600000,147080000
"249","chrX",147080000,148680000
"250","chrX",148680000,148760000
"251","chrX",148760000,149120000
"252","chrX",149120000,149560000
"253","chrX",149560000,149880000
"254","chrX",149880000,150280000
"255","chrX",150280000,150880000
"256","chrX",150880000,151880000
"257","chrX",151880000,152560000
"258","chrX",152560000,152800000
"259","chrX",152800000,153280000
"260","chrX",153280000,153440000
"261","chrX",153440000,153880000
"262","chrX",153880000,154080000
"263","chrX",154080000,154520000
"264","chrX",154520000,154600000
"265","chrX",154600000,155280000
"266","chrX",155280000,155280000
